Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
MSI,Model 241,AMD Ryzen 9,64,512,17.0,NVIDIA RTX 3070,Windows 10,2.68,13.3,2908.89,3
Lenovo,Model 242,Intel i7,32,512,17.0,NVIDIA RTX 3060,Linux,2.16,7.1,2123.65,3
Dell,Model 243,AMD Ryzen 5,64,1024,17.0,NVIDIA GTX 1650,macOS,2.53,6.2,2282.26,3
MSI,Model 244,Intel i7,8,256,13.3,NVIDIA GTX 1650,Linux,1.68,14.8,1773.16,2
Acer,Model 245,AMD Ryzen 9,8,256,15.6,NVIDIA RTX 3070,macOS,1.69,13.9,1810.12,1
Dell,Model 246,Intel i9,64,512,13.3,NVIDIA RTX 3060,macOS,1.28,3.3,2436.86,3
Dell,Model 247,AMD Ryzen 9,32,2048,17.0,NVIDIA RTX 3060,Windows 10,1.29,12.2,2416.6,2
Dell,Model 248,Intel i9,16,1024,13.3,AMD Radeon,Windows 11,1.87,4.3,2207.12,3
Apple,Model 249,AMD Ryzen 9,32,1024,13.3,NVIDIA RTX 3060,Windows 10,2.91,3.3,2674.45,1
Acer,Model 250,AMD Ryzen 5,16,512,13.3,NVIDIA GTX 1650,macOS,2.52,6.3,1180.37,3
Dell,Model 251,AMD Ryzen 7,64,256,15.6,Intel UHD,Windows 10,1.26,6.2,1997.68,1
Lenovo,Model 252,AMD Ryzen 5,64,512,17.0,Intel UHD,Windows 10,3.13,12.8,2093.92,2
Asus,Model 253,Intel i7,8,512,17.0,Intel UHD,macOS,2.5,11.5,1613.17,1
Dell,Model 254,AMD Ryzen 5,16,512,15.6,Intel UHD,macOS,3.4,14.8,1229.89,1
Apple,Model 255,Intel i5,32,512,13.3,NVIDIA RTX 3060,Windows 10,2.68,11.5,2421.46,2
MSI,Model 256,Intel i7,64,2048,13.3,NVIDIA RTX 3060,Windows 10,1.44,8.0,2892.64,1
Acer,Model 257,AMD Ryzen 9,32,2048,14.0,AMD Radeon,Windows 10,2.18,11.4,1725.85,1
Razer,Model 258,Intel i7,8,256,14.0,NVIDIA RTX 3060,Linux,2.62,15.0,2399.17,2
Apple,Model 259,AMD Ryzen 7,16,512,14.0,Intel UHD,Windows 10,1.07,11.5,2285.7,1
Dell,Model 260,Intel i9,16,2048,15.6,NVIDIA RTX 3070,Linux,1.04,12.1,2403.06,1
Acer,Model 261,AMD Ryzen 9,64,256,17.0,NVIDIA RTX 3070,Windows 11,1.32,14.3,2498.17,3
Asus,Model 262,Intel i7,16,512,14.0,NVIDIA GTX 1650,Linux,1.63,4.4,1054.41,1
Dell,Model 263,AMD Ryzen 9,64,1024,17.0,NVIDIA GTX 1650,Windows 10,2.07,11.5,2146.64,1
Apple,Model 264,AMD Ryzen 9,8,2048,17.0,NVIDIA RTX 3060,Windows 11,2.22,13.2,2787.51,1
HP,Model 265,AMD Ryzen 9,16,256,17.0,NVIDIA RTX 3070,Linux,1.35,14.5,2062.73,2
Lenovo,Model 266,Intel i9,64,1024,15.6,Intel UHD,Linux,2.68,5.5,2202.76,1
Razer,Model 267,AMD Ryzen 5,32,512,15.6,Intel UHD,macOS,2.49,9.0,1795.68,2
MSI,Model 268,AMD Ryzen 9,64,512,15.6,Intel UHD,Windows 11,1.74,11.2,2263.19,2
Apple,Model 269,Intel i5,16,512,15.6,NVIDIA RTX 3060,macOS,1.03,6.0,2340.21,1
Acer,Model 270,AMD Ryzen 7,8,2048,14.0,NVIDIA RTX 3060,Windows 11,1.19,10.2,2027.79,1
Razer,Model 271,Intel i9,16,256,13.3,AMD Radeon,Linux,1.98,6.1,1884.32,1
Razer,Model 272,Intel i7,16,1024,13.3,Intel UHD,macOS,1.38,7.0,2176.87,1
Razer,Model 273,Intel i9,64,256,13.3,Intel UHD,Windows 10,1.94,8.3,2419.83,1
Dell,Model 274,Intel i7,32,2048,14.0,NVIDIA RTX 3060,Linux,2.57,9.4,2089.17,1
Lenovo,Model 275,Intel i9,16,256,13.3,NVIDIA RTX 3060,Windows 11,2.37,8.4,1887.92,1
Dell,Model 276,Intel i7,32,2048,14.0,AMD Radeon,Windows 11,1.58,8.9,2123.36,2
Acer,Model 277,AMD Ryzen 9,64,512,14.0,AMD Radeon,macOS,1.86,6.6,1858.37,3
Dell,Model 278,AMD Ryzen 5,32,1024,14.0,NVIDIA GTX 1650,macOS,2.54,4.9,1751.97,2
HP,Model 279,Intel i7,64,512,13.3,NVIDIA RTX 3070,Windows 11,3.15,3.6,2180.0,1
Lenovo,Model 280,Intel i7,8,256,17.0,Intel UHD,Linux,2.88,5.4,1430.23,3
Lenovo,Model 281,Intel i5,32,512,13.3,Intel UHD,macOS,2.38,10.0,1557.92,3
Acer,Model 282,Intel i7,32,1024,13.3,AMD Radeon,Windows 10,1.91,12.4,1878.1,1
MSI,Model 283,Intel i5,8,512,15.6,AMD Radeon,Windows 11,1.91,5.0,1370.73,1
HP,Model 284,AMD Ryzen 7,32,1024,14.0,NVIDIA GTX 1650,Windows 10,3.2,4.3,2076.06,2
Apple,Model 285,AMD Ryzen 9,8,1024,17.0,NVIDIA RTX 3070,Windows 11,1.1,12.0,2705.79,3
Dell,Model 286,Intel i5,16,512,15.6,NVIDIA GTX 1650,Windows 10,3.47,6.7,1560.73,3
Asus,Model 287,AMD Ryzen 5,64,2048,17.0,NVIDIA RTX 3070,Linux,2.66,14.4,2612.05,1
Dell,Model 288,AMD Ryzen 9,8,256,17.0,Intel UHD,Windows 11,2.7,11.6,1605.55,1
Razer,Model 289,Intel i5,32,2048,14.0,NVIDIA GTX 1650,Linux,1.09,6.9,2314.7,3
Dell,Model 290,AMD Ryzen 9,8,2048,13.3,AMD Radeon,macOS,2.51,6.5,1908.08,3
Apple,Model 291,AMD Ryzen 9,32,512,14.0,NVIDIA GTX 1650,Windows 11,2.21,9.3,2394.95,1
Dell,Model 292,AMD Ryzen 9,16,256,14.0,NVIDIA GTX 1650,Linux,1.26,3.9,1571.1,1
HP,Model 293,AMD Ryzen 7,8,256,15.6,Intel UHD,Windows 10,1.69,4.4,1445.24,1
HP,Model 294,AMD Ryzen 5,16,2048,14.0,AMD Radeon,Linux,3.23,5.1,1696.05,2
Lenovo,Model 295,Intel i9,64,512,13.3,AMD Radeon,Windows 11,2.37,12.3,2020.56,2
Acer,Model 296,Intel i9,32,256,17.0,NVIDIA RTX 3060,Linux,2.03,9.2,2081.14,1
MSI,Model 297,Intel i5,32,2048,14.0,NVIDIA RTX 3060,Windows 10,1.18,3.1,2318.59,2
Asus,Model 298,AMD Ryzen 9,16,256,17.0,NVIDIA RTX 3060,Windows 10,2.79,11.1,2138.23,3
Razer,Model 299,Intel i5,64,512,14.0,Intel UHD,Windows 10,2.76,8.1,2329.34,3
Dell,Model 300,AMD Ryzen 7,8,512,17.0,NVIDIA GTX 1650,macOS,2.54,9.1,1496.35,1
Dell,Model 301,AMD Ryzen 7,8,512,14.0,AMD Radeon,Windows 11,2.28,5.6,1534.57,3
Apple,Model 302,Intel i7,32,256,15.6,AMD Radeon,Windows 10,2.08,9.6,2634.29,3
Acer,Model 303,AMD Ryzen 7,16,1024,17.0,NVIDIA GTX 1650,macOS,2.48,14.7,1839.46,3
HP,Model 304,Intel i7,16,256,14.0,AMD Radeon,Windows 10,1.58,3.9,1643.56,3
Asus,Model 305,AMD Ryzen 5,8,1024,14.0,NVIDIA GTX 1650,Linux,3.35,6.4,1532.2,3
Lenovo,Model 306,Intel i5,64,512,15.6,Intel UHD,Windows 11,2.47,5.9,1812.15,2
HP,Model 307,AMD Ryzen 5,64,2048,15.6,Intel UHD,Linux,1.78,6.0,1941.26,2
Razer,Model 308,AMD Ryzen 7,8,1024,15.6,Intel UHD,macOS,2.12,7.5,1994.36,1
Acer,Model 309,AMD Ryzen 5,8,512,17.0,NVIDIA GTX 1650,Linux,3.01,12.8,1427.07,3
Razer,Model 310,AMD Ryzen 5,16,512,17.0,NVIDIA GTX 1650,Linux,1.4,14.0,2146.15,2
MSI,Model 311,AMD Ryzen 5,64,1024,15.6,NVIDIA RTX 3070,Windows 10,1.73,5.4,2784.22,2
Lenovo,Model 312,AMD Ryzen 7,8,2048,13.3,AMD Radeon,Linux,2.7,9.5,1775.51,2
MSI,Model 313,AMD Ryzen 9,8,512,13.3,AMD Radeon,Windows 10,1.79,10.6,2121.23,3
Apple,Model 314,AMD Ryzen 5,32,1024,14.0,NVIDIA RTX 3070,Windows 10,2.98,9.3,2935.72,2
Razer,Model 315,Intel i7,8,2048,13.3,NVIDIA RTX 3070,Windows 11,1.33,8.2,2615.15,1
Apple,Model 316,AMD Ryzen 7,8,2048,14.0,Intel UHD,macOS,2.91,5.3,2271.59,1
Dell,Model 317,AMD Ryzen 5,64,512,17.0,NVIDIA RTX 3070,macOS,1.17,8.9,2473.96,3
MSI,Model 318,AMD Ryzen 9,16,256,17.0,NVIDIA GTX 1650,macOS,1.03,7.8,2035.82,1
Acer,Model 319,AMD Ryzen 7,64,256,13.3,NVIDIA RTX 3060,Windows 10,3.25,12.5,1984.38,2
Razer,Model 320,Intel i9,16,512,17.0,NVIDIA GTX 1650,macOS,2.45,12.2,2499.35,3
Asus,Model 321,AMD Ryzen 9,32,2048,15.6,NVIDIA RTX 3070,Windows 10,1.88,4.6,2413.27,1
Lenovo,Model 322,Intel i7,8,512,15.6,AMD Radeon,Windows 11,1.58,4.1,1433.37,3
HP,Model 323,AMD Ryzen 5,32,1024,13.3,NVIDIA GTX 1650,macOS,2.54,13.9,2126.36,2
Acer,Model 324,Intel i9,16,256,13.3,AMD Radeon,Windows 10,2.27,9.4,1336.7,1
Acer,Model 325,Intel i9,64,1024,14.0,NVIDIA GTX 1650,macOS,3.48,13.3,1953.77,2
Apple,Model 326,AMD Ryzen 7,64,512,17.0,AMD Radeon,macOS,3.46,3.7,2674.62,1
MSI,Model 327,Intel i9,32,512,14.0,NVIDIA GTX 1650,Windows 11,2.59,9.3,2422.45,3
Razer,Model 328,Intel i7,16,2048,14.0,AMD Radeon,Linux,2.11,9.5,2371.92,1
Razer,Model 329,Intel i7,32,2048,15.6,NVIDIA RTX 3060,macOS,2.23,13.3,2834.75,1
Dell,Model 330,Intel i5,32,2048,15.6,Intel UHD,Windows 11,2.71,4.2,1632.96,1
Dell,Model 331,Intel i7,8,1024,15.6,NVIDIA GTX 1650,macOS,1.25,5.9,1738.51,3
Lenovo,Model 332,AMD Ryzen 9,32,2048,15.6,NVIDIA RTX 3060,macOS,1.82,7.9,2187.27,1
Apple,Model 333,Intel i9,8,512,14.0,Intel UHD,macOS,1.19,13.4,2302.63,2
Acer,Model 334,Intel i7,8,2048,15.6,NVIDIA GTX 1650,macOS,1.18,14.3,2051.77,3
Razer,Model 335,AMD Ryzen 7,64,256,17.0,NVIDIA RTX 3060,Linux,1.49,14.9,2887.24,3
Asus,Model 336,Intel i5,8,2048,15.6,NVIDIA RTX 3060,Linux,2.21,14.5,1818.48,2
Apple,Model 337,Intel i9,8,1024,15.6,NVIDIA RTX 3060,macOS,2.96,3.1,2664.49,3
Lenovo,Model 338,Intel i5,64,256,15.6,NVIDIA RTX 3070,macOS,2.21,3.6,2044.94,1
Lenovo,Model 339,Intel i9,32,256,13.3,AMD Radeon,Windows 11,1.84,4.8,1729.24,3
Apple,Model 340,AMD Ryzen 7,16,256,17.0,Intel UHD,Windows 11,1.21,7.2,2072.67,2
Lenovo,Model 341,Intel i5,16,1024,17.0,AMD Radeon,Windows 10,2.38,13.0,1662.95,3
Apple,Model 342,AMD Ryzen 5,16,512,14.0,AMD Radeon,Linux,1.68,13.7,2289.84,2
HP,Model 343,AMD Ryzen 9,32,2048,14.0,AMD Radeon,macOS,2.54,5.2,1998.56,3
Apple,Model 344,AMD Ryzen 9,8,256,15.6,NVIDIA RTX 3060,Linux,3.44,10.4,2442.14,2
MSI,Model 345,Intel i9,16,256,13.3,AMD Radeon,Windows 11,1.28,14.0,2231.01,3
Apple,Model 346,AMD Ryzen 5,32,256,14.0,NVIDIA RTX 3070,Linux,1.53,8.6,2379.99,1
Lenovo,Model 347,Intel i5,8,512,14.0,NVIDIA GTX 1650,Linux,2.18,4.2,1065.48,2
Razer,Model 348,AMD Ryzen 5,64,512,15.6,NVIDIA RTX 3060,macOS,3.42,8.5,2463.73,2
MSI,Model 349,AMD Ryzen 5,16,1024,15.6,Intel UHD,macOS,2.93,7.5,1761.88,3
Lenovo,Model 350,Intel i5,8,512,14.0,NVIDIA GTX 1650,Windows 11,3.25,9.9,1440.94,3
Dell,Model 351,AMD Ryzen 7,16,2048,14.0,NVIDIA GTX 1650,macOS,1.83,8.3,2242.8,3
Dell,Model 352,AMD Ryzen 5,16,1024,17.0,NVIDIA GTX 1650,Windows 11,3.48,3.2,1664.05,1
Razer,Model 353,AMD Ryzen 5,16,1024,13.3,AMD Radeon,Windows 11,1.26,14.9,2201.71,3
Razer,Model 354,AMD Ryzen 7,8,2048,17.0,AMD Radeon,Windows 10,1.13,9.5,2335.65,2
MSI,Model 355,AMD Ryzen 5,32,2048,14.0,NVIDIA RTX 3060,Windows 10,3.14,8.7,2252.72,3
HP,Model 356,AMD Ryzen 5,8,2048,17.0,AMD Radeon,Windows 10,3.32,14.5,1698.12,1
Razer,Model 357,AMD Ryzen 5,16,1024,17.0,AMD Radeon,Linux,1.23,4.9,2107.6,3
Dell,Model 358,AMD Ryzen 9,8,1024,14.0,AMD Radeon,Windows 10,1.28,5.3,1879.31,3
Apple,Model 359,Intel i7,64,1024,15.6,NVIDIA RTX 3060,macOS,1.08,12.7,3030.82,2
Lenovo,Model 360,AMD Ryzen 7,32,2048,14.0,NVIDIA RTX 3060,macOS,1.26,6.1,2267.2,3
Dell,Model 361,AMD Ryzen 5,8,2048,15.6,NVIDIA RTX 3070,Windows 10,1.52,12.6,2396.31,1
Dell,Model 362,AMD Ryzen 9,64,256,14.0,NVIDIA RTX 3070,Linux,3.43,6.3,2476.39,3
HP,Model 363,AMD Ryzen 7,32,512,14.0,NVIDIA RTX 3070,Windows 11,2.67,3.4,2172.26,3
MSI,Model 364,Intel i9,64,256,14.0,NVIDIA RTX 3070,Linux,2.95,9.2,2883.92,2
MSI,Model 365,Intel i9,32,2048,13.3,NVIDIA GTX 1650,Linux,2.94,5.4,2387.42,3
Acer,Model 366,AMD Ryzen 5,8,1024,15.6,NVIDIA GTX 1650,Windows 11,2.34,12.1,1481.11,2
HP,Model 367,AMD Ryzen 9,64,2048,13.3,NVIDIA RTX 3070,Windows 11,2.99,10.7,2707.99,2
Apple,Model 368,AMD Ryzen 9,16,512,14.0,NVIDIA RTX 3070,Windows 11,2.49,14.1,2916.35,3
MSI,Model 369,AMD Ryzen 7,64,256,17.0,Intel UHD,macOS,1.79,12.4,2118.85,2
Lenovo,Model 370,AMD Ryzen 7,32,256,13.3,NVIDIA GTX 1650,Windows 11,2.4,5.2,1576.08,2
Razer,Model 371,AMD Ryzen 9,8,1024,15.6,Intel UHD,Windows 11,2.33,12.6,2305.1,3
HP,Model 372,AMD Ryzen 7,32,256,14.0,Intel UHD,Linux,3.06,10.7,1885.17,3
Razer,Model 373,AMD Ryzen 9,64,256,13.3,AMD Radeon,Linux,3.45,11.0,2542.29,1
Dell,Model 374,Intel i7,64,2048,17.0,NVIDIA RTX 3060,Windows 10,2.03,13.0,2950.98,1
Lenovo,Model 375,AMD Ryzen 9,16,256,13.3,NVIDIA GTX 1650,Linux,2.91,9.9,1479.4,2
Lenovo,Model 376,Intel i9,8,256,15.6,NVIDIA RTX 3070,Windows 11,1.25,8.6,2204.25,2
Dell,Model 377,AMD Ryzen 7,8,256,13.3,NVIDIA RTX 3070,macOS,2.94,10.6,2042.3,3
HP,Model 378,AMD Ryzen 9,64,1024,17.0,NVIDIA RTX 3060,Linux,1.93,6.6,2710.87,1
Dell,Model 379,AMD Ryzen 9,8,1024,17.0,NVIDIA GTX 1650,Linux,1.1,5.2,1675.36,1
Razer,Model 380,AMD Ryzen 7,16,2048,15.6,NVIDIA RTX 3070,Windows 11,1.91,10.4,2705.84,3
Acer,Model 381,Intel i7,32,256,17.0,NVIDIA RTX 3070,Linux,2.53,5.8,1935.29,3
Lenovo,Model 382,Intel i7,8,1024,14.0,AMD Radeon,Linux,1.3,4.0,1292.02,3
Asus,Model 383,AMD Ryzen 7,64,1024,17.0,Intel UHD,Windows 11,3.31,3.0,1844.34,3
Asus,Model 384,Intel i5,32,2048,14.0,NVIDIA RTX 3070,Linux,1.19,10.3,2041.23,1
Razer,Model 385,AMD Ryzen 7,32,512,13.3,NVIDIA GTX 1650,macOS,3.33,7.3,2252.66,3
Apple,Model 386,AMD Ryzen 7,16,256,14.0,NVIDIA RTX 3060,Windows 10,2.77,12.0,2621.86,3
MSI,Model 387,Intel i7,64,1024,14.0,AMD Radeon,Linux,1.82,7.5,2571.73,1
Dell,Model 388,Intel i7,8,2048,13.3,NVIDIA GTX 1650,macOS,1.98,8.8,2137.56,3
Dell,Model 389,AMD Ryzen 7,64,2048,17.0,AMD Radeon,Linux,2.85,7.9,2132.16,1
Apple,Model 390,AMD Ryzen 7,32,2048,14.0,Intel UHD,Windows 10,2.5,10.8,2325.44,1
Apple,Model 391,AMD Ryzen 7,64,1024,17.0,NVIDIA RTX 3070,Windows 11,2.68,7.3,3286.69,3
Razer,Model 392,Intel i7,8,256,13.3,NVIDIA GTX 1650,Windows 10,1.97,14.6,2015.57,3
Razer,Model 393,AMD Ryzen 7,8,512,15.6,NVIDIA RTX 3060,Linux,2.22,14.2,2631.72,2
Apple,Model 394,AMD Ryzen 7,16,256,17.0,Intel UHD,Windows 10,3.47,13.2,2372.52,2
Lenovo,Model 395,AMD Ryzen 5,8,2048,17.0,Intel UHD,Windows 10,1.53,14.0,1494.62,1
Razer,Model 396,Intel i5,8,2048,15.6,AMD Radeon,Windows 11,2.04,8.4,1775.63,1
Acer,Model 397,Intel i9,64,512,15.6,Intel UHD,Linux,1.73,9.4,2155.68,2
Razer,Model 398,Intel i5,64,256,13.3,NVIDIA GTX 1650,Windows 10,2.91,11.9,2216.32,1
Dell,Model 399,AMD Ryzen 5,32,2048,17.0,AMD Radeon,Windows 10,2.91,11.4,2173.47,2
Razer,Model 400,Intel i9,16,2048,17.0,Intel UHD,Windows 11,1.73,13.7,2377.34,3
Lenovo,Model 401,AMD Ryzen 7,64,256,13.3,NVIDIA RTX 3060,macOS,1.2,11.6,2157.49,3
Apple,Model 402,AMD Ryzen 5,8,2048,17.0,NVIDIA GTX 1650,Linux,1.03,15.0,2650.79,3
Dell,Model 403,AMD Ryzen 7,32,256,14.0,NVIDIA RTX 3060,macOS,2.07,7.2,1911.65,1
Razer,Model 404,Intel i7,64,2048,14.0,NVIDIA RTX 3060,macOS,2.03,13.0,3050.49,3
Lenovo,Model 405,AMD Ryzen 9,16,256,14.0,AMD Radeon,Windows 11,3.47,11.4,1577.03,1
Acer,Model 406,AMD Ryzen 5,16,512,17.0,NVIDIA RTX 3070,Windows 11,2.17,11.3,1722.36,3
Razer,Model 407,Intel i7,32,2048,14.0,AMD Radeon,Linux,1.64,6.9,2364.74,1
Lenovo,Model 408,AMD Ryzen 5,32,512,14.0,NVIDIA GTX 1650,macOS,3.23,12.4,1542.64,1
Acer,Model 409,AMD Ryzen 5,32,2048,13.3,NVIDIA GTX 1650,Windows 10,2.23,13.8,1854.17,2
Apple,Model 410,Intel i7,32,2048,13.3,AMD Radeon,macOS,2.5,5.6,2699.94,2
Razer,Model 411,Intel i9,32,1024,15.6,NVIDIA RTX 3070,Windows 11,1.24,10.5,2790.8,2
Acer,Model 412,Intel i5,8,256,15.6,AMD Radeon,Windows 10,1.96,7.7,876.38,1
Dell,Model 413,AMD Ryzen 7,8,512,15.6,NVIDIA GTX 1650,Windows 10,3.36,14.9,1913.55,2
Apple,Model 414,AMD Ryzen 5,64,512,15.6,NVIDIA RTX 3070,Windows 11,2.47,8.7,3012.35,2
Dell,Model 415,AMD Ryzen 7,16,512,13.3,NVIDIA GTX 1650,Windows 10,1.86,5.7,1549.63,2
Asus,Model 416,AMD Ryzen 9,8,256,13.3,NVIDIA RTX 3070,macOS,2.56,7.6,2067.67,1
HP,Model 417,Intel i7,8,1024,13.3,NVIDIA RTX 3070,Windows 11,3.28,10.8,1986.75,1
Razer,Model 418,AMD Ryzen 7,8,512,14.0,AMD Radeon,Linux,1.68,3.9,2118.99,2
Acer,Model 419,Intel i7,64,256,14.0,AMD Radeon,Windows 11,2.26,10.2,1833.13,2
HP,Model 420,AMD Ryzen 7,32,2048,15.6,AMD Radeon,Linux,3.4,14.2,2266.31,1
HP,Model 421,Intel i5,64,512,14.0,NVIDIA RTX 3070,Linux,1.43,13.2,2527.9,1
Acer,Model 422,Intel i5,16,512,17.0,NVIDIA RTX 3070,Windows 11,2.8,3.8,1582.46,2
Apple,Model 423,Intel i5,16,1024,13.3,NVIDIA GTX 1650,Windows 11,2.54,14.9,2445.24,2
Razer,Model 424,Intel i5,16,512,15.6,NVIDIA RTX 3060,Linux,2.7,11.4,2306.61,2
Asus,Model 425,Intel i5,16,512,15.6,AMD Radeon,Linux,1.88,4.9,1525.39,1
Dell,Model 426,Intel i5,8,2048,17.0,NVIDIA GTX 1650,Windows 10,1.78,3.1,1571.76,2
Lenovo,Model 427,Intel i7,8,256,14.0,NVIDIA GTX 1650,Windows 11,2.71,5.1,1458.41,1
Dell,Model 428,AMD Ryzen 5,64,256,15.6,Intel UHD,Windows 11,1.54,13.1,2161.06,3
Lenovo,Model 429,AMD Ryzen 7,32,1024,14.0,AMD Radeon,Windows 10,2.05,3.3,1373.29,2
Dell,Model 430,Intel i5,16,2048,14.0,NVIDIA GTX 1650,Windows 11,1.47,5.8,1670.91,3
Acer,Model 431,Intel i7,64,256,17.0,Intel UHD,Windows 10,1.02,12.1,1480.22,1
Asus,Model 432,Intel i7,8,2048,15.6,AMD Radeon,Windows 10,3.43,10.0,1810.59,3
Razer,Model 433,Intel i7,8,256,14.0,NVIDIA RTX 3070,Windows 11,2.08,12.4,2572.83,2
Lenovo,Model 434,AMD Ryzen 5,32,2048,14.0,Intel UHD,macOS,3.42,12.0,1966.75,3
Razer,Model 435,AMD Ryzen 7,32,1024,17.0,NVIDIA RTX 3070,Linux,1.35,3.6,2765.71,3
Razer,Model 436,AMD Ryzen 5,32,512,17.0,NVIDIA RTX 3060,Windows 11,2.47,13.7,2778.79,3
Razer,Model 437,Intel i9,64,1024,14.0,NVIDIA RTX 3060,macOS,1.5,5.7,2669.08,1
MSI,Model 438,Intel i7,8,256,17.0,NVIDIA RTX 3060,Windows 10,2.98,9.6,1841.69,2
Apple,Model 439,Intel i9,8,1024,14.0,NVIDIA RTX 3060,macOS,2.96,10.7,2636.37,1
Dell,Model 440,AMD Ryzen 9,32,512,15.6,NVIDIA GTX 1650,Windows 11,1.28,5.0,2081.21,3
Razer,Model 441,Intel i5,16,1024,13.3,NVIDIA RTX 3060,Windows 11,3.28,14.7,2337.0,3
Dell,Model 442,Intel i5,32,256,17.0,NVIDIA GTX 1650,macOS,1.49,8.9,1353.18,1
Razer,Model 443,AMD Ryzen 5,64,256,13.3,NVIDIA GTX 1650,Windows 11,2.53,3.7,2162.33,1
Lenovo,Model 444,AMD Ryzen 7,32,1024,14.0,AMD Radeon,Linux,3.46,14.2,1623.53,3
Apple,Model 445,Intel i9,32,512,14.0,NVIDIA GTX 1650,macOS,3.21,10.0,2714.85,2
Apple,Model 446,AMD Ryzen 7,64,1024,14.0,NVIDIA GTX 1650,Windows 10,3.39,11.4,2740.99,1
Acer,Model 447,AMD Ryzen 5,32,512,13.3,NVIDIA RTX 3060,macOS,1.86,9.3,1627.92,3
MSI,Model 448,Intel i5,8,2048,14.0,NVIDIA GTX 1650,macOS,1.26,13.0,2023.72,3
Acer,Model 449,AMD Ryzen 7,16,512,17.0,NVIDIA RTX 3070,macOS,1.47,3.4,1658.12,2
Acer,Model 450,AMD Ryzen 7,32,2048,15.6,NVIDIA RTX 3060,macOS,2.25,6.2,2073.8,3
Acer,Model 451,Intel i5,64,1024,15.6,Intel UHD,Windows 10,2.98,8.6,1685.67,1
Acer,Model 452,Intel i9,16,512,17.0,NVIDIA RTX 3060,Windows 10,1.38,3.9,1805.24,3
Acer,Model 453,Intel i5,64,2048,15.6,NVIDIA GTX 1650,Windows 10,2.65,11.5,2128.31,3
Asus,Model 454,AMD Ryzen 7,16,2048,13.3,NVIDIA RTX 3070,macOS,1.81,7.7,2169.76,3
Apple,Model 455,Intel i9,16,2048,14.0,NVIDIA RTX 3060,Linux,1.85,6.3,2871.77,3
Acer,Model 456,Intel i9,32,256,14.0,NVIDIA RTX 3070,Linux,2.65,3.0,1977.35,2
Razer,Model 457,Intel i5,8,1024,14.0,Intel UHD,Windows 10,2.17,11.6,1634.51,1
Apple,Model 458,AMD Ryzen 7,32,2048,13.3,Intel UHD,Linux,3.03,13.0,2524.95,3
Apple,Model 459,AMD Ryzen 5,64,512,13.3,AMD Radeon,Linux,1.39,7.7,2290.02,1
HP,Model 460,AMD Ryzen 7,64,2048,13.3,AMD Radeon,Linux,2.97,9.8,2488.11,2
Asus,Model 461,Intel i7,16,256,17.0,NVIDIA RTX 3060,Linux,1.16,5.7,1805.79,1
Acer,Model 462,AMD Ryzen 9,16,1024,13.3,AMD Radeon,Linux,1.49,10.5,1520.54,2
Dell,Model 463,AMD Ryzen 5,8,256,15.6,NVIDIA RTX 3070,Windows 11,2.64,3.1,1742.4,1
Lenovo,Model 464,Intel i9,32,256,17.0,AMD Radeon,Windows 10,3.14,8.9,1730.45,1
MSI,Model 465,AMD Ryzen 5,64,256,17.0,NVIDIA RTX 3070,macOS,1.63,10.7,2657.55,3
Razer,Model 466,Intel i9,16,512,17.0,AMD Radeon,Linux,1.82,14.0,2429.13,1
Dell,Model 467,Intel i9,8,1024,13.3,AMD Radeon,Windows 11,2.34,7.6,2022.63,3
Asus,Model 468,AMD Ryzen 5,64,1024,17.0,AMD Radeon,macOS,1.53,12.2,2052.82,3
Lenovo,Model 469,Intel i9,16,512,13.3,NVIDIA GTX 1650,Windows 11,3.03,10.2,1571.23,1
Asus,Model 470,Intel i9,64,1024,13.3,NVIDIA GTX 1650,Linux,2.93,14.1,2339.64,3
Razer,Model 471,Intel i7,8,256,17.0,AMD Radeon,Linux,1.36,7.8,1664.71,1
Apple,Model 472,AMD Ryzen 7,8,1024,14.0,NVIDIA RTX 3070,Linux,2.16,6.8,2490.92,3
Lenovo,Model 473,AMD Ryzen 7,64,512,14.0,NVIDIA RTX 3060,Linux,2.94,13.6,2465.23,3
Apple,Model 474,AMD Ryzen 9,32,256,17.0,Intel UHD,macOS,1.84,3.6,2591.55,2
Razer,Model 475,AMD Ryzen 9,64,512,14.0,NVIDIA GTX 1650,macOS,2.58,4.6,2477.24,2
Dell,Model 476,Intel i7,16,2048,15.6,AMD Radeon,Windows 11,1.13,4.0,1953.48,1
Razer,Model 477,AMD Ryzen 9,32,256,15.6,Intel UHD,Windows 10,2.52,13.1,2353.79,3
Dell,Model 478,AMD Ryzen 5,16,256,13.3,NVIDIA GTX 1650,Linux,1.38,3.1,1965.53,2
Lenovo,Model 479,Intel i5,64,1024,14.0,NVIDIA RTX 3060,Windows 11,3.08,13.3,2269.84,2
Lenovo,Model 480,Intel i5,32,256,15.6,NVIDIA RTX 3070,Windows 11,1.89,8.4,1867.61,2
Acer,Model 481,Intel i5,16,512,17.0,AMD Radeon,Windows 11,1.7,3.0,1183.47,3
Asus,Model 482,Intel i7,64,1024,14.0,NVIDIA RTX 3060,Linux,3.1,7.8,1952.63,1
Acer,Model 483,Intel i7,64,2048,15.6,NVIDIA GTX 1650,Linux,1.13,5.2,2249.52,3
